,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
542,416,2023-02-06 16:21:11.378532+00:00,,t,fragment,fragment,72975893882285820,648518346351307175,[ 27339 104945   2893]
543,417,2023-02-06 16:21:11.379568+00:00,,t,fragment,fragment,72975756510555203,648518346506113904,[ 27403 100811   3053]
544,418,2023-02-06 16:21:11.380513+00:00,,t,fragment,fragment,72976031321225272,648518346395001857,[ 27507 108791   2875]
545,419,2023-02-06 16:21:11.381472+00:00,,t,fragment,fragment,72975756443350834,648518346455872770,[ 28097 101111   2896]
546,420,2023-02-06 16:21:11.382357+00:00,,t,fragment,fragment,72975687791101339,648518346518751711,[28363 99161  3069]
547,421,2023-02-06 16:21:11.383214+00:00,,t,fragment,fragment,72975962534765833,648518346424331909,[ 28431 107225   2803]
548,422,2023-02-06 16:21:11.384122+00:00,,t,fragment,fragment,73046537370340732,648518346479280537,[ 29155 113397   2677]
549,423,2023-02-06 16:21:11.385018+00:00,,t,fragment,fragment,73046331345957300,648518346494002062,[ 29159 106819   2876]
550,424,2023-02-06 16:21:11.385871+00:00,,t,fragment,fragment,73046399998504714,648518346502276936,[ 29855 109895   2813]
551,425,2023-02-06 16:21:11.386726+00:00,,t,fragment,fragment,73116700023104574,648518346376426043,[ 31323 107081   2786]
552,426,2023-02-06 16:21:11.387860+00:00,,t,fragment,fragment,73328631023668097,648518346476235173,[ 38101 131167   3067]
553,427,2023-02-06 16:21:11.388721+00:00,,t,fragment,fragment,73328699810190187,648518346478934480,[ 38187 133279   3177]
554,428,2023-02-06 16:21:11.389548+00:00,,t,fragment,fragment,73398999834761386,648518346500113670,[ 39501 131385   3118]
555,429,2023-02-06 16:21:11.390358+00:00,,t,fragment,fragment,73398999700591271,648518346481371190,[ 40445 132093   2873]
556,430,2023-02-06 16:21:11.391186+00:00,,t,fragment,fragment,73469368712931382,648518346520386809,[ 40993 132711   3341]
557,431,2023-02-06 16:21:11.392099+00:00,,t,fragment,fragment,73469368646047014,648518346422287111,[ 41579 132035   3238]
558,432,2023-02-06 16:21:11.392946+00:00,,t,fragment,fragment,73469437231372057,648518346493392506,[ 42347 133193   3019]
559,433,2023-02-06 16:21:11.393780+00:00,,t,fragment,fragment,73469437365604911,648518346492257073,[ 42397 133297   3274]
560,434,2023-02-06 16:21:11.394611+00:00,,t,fragment,fragment,73539805975496999,648518346444060363,[ 43205 133365   2996]
561,435,2023-02-06 16:21:11.395459+00:00,,t,fragment,fragment,73539806042574376,648518346493061242,[ 43419 134015   3096]
562,436,2023-02-06 16:21:11.396297+00:00,,t,fragment,fragment,73539806109782681,648518346424043523,[ 44041 134437   3278]
563,437,2023-02-06 16:21:11.397153+00:00,,t,fragment,fragment,73539806109755657,648518346424004611,[ 44289 134505   3277]
564,438,2023-02-06 16:21:11.397987+00:00,,t,fragment,fragment,72342643769877301,648518346478213817,[  9141 108383   2605]
565,450,2023-02-06 16:21:11.408597+00:00,,t,"T1L, MN",MN,72482831502613558,648518346494148128,[13693 91905  2685]
566,440,2023-02-06 16:21:11.399963+00:00,,t,fragment,fragment,72342712489589745,648518346492381379,[  9471 110363   2684]
567,441,2023-02-06 16:21:11.400776+00:00,,t,fragment,fragment,72342781141649563,648518346475999937,[  9731 110931   2457]
568,442,2023-02-06 16:21:11.401614+00:00,,t,fragment,fragment,72342781208897625,648518346481763099,[  9801 110637   2624]
569,443,2023-02-06 16:21:11.402523+00:00,,t,fragment,fragment,72342781275876925,648518346489191729,[  9809 112097   2715]
570,444,2023-02-06 16:21:11.403360+00:00,,t,fragment,fragment,72342712623745029,648518346481889051,[  9847 110547   2930]
571,445,2023-02-06 16:21:11.404196+00:00,,t,fragment,fragment,72342712556669331,648518346476562881,[  9929 110345   2810]
572,439,2023-02-06 16:21:11.399124+00:00,,t,fragment,fragment,72342643769688276,648518346498510418,[  9390 108439   2582]
573,477,2023-02-06 16:21:11.433377+00:00,,t,"T1L, sensory",sensory,72553612966249062,648518346503767201,[ 14914 102792   3438]
574,452,2023-02-06 16:21:11.410552+00:00,,t,"T1L, MN",MN,72553131392891700,648518346489543513,[16070 89176  2350]
