,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
2690,30494738,2022-11-17 14:28:59.843347+00:00,,t,22,72413150020094153,648518346501581144,72413150020112883,648518346509569667,[ 10515 110685   2719],[ 10483 110725   2720]
2691,30010307,2022-11-17 14:28:59.843347+00:00,,t,27,72976031187164427,648518346501581144,72976031187160932,648518346514448583,[ 27281 109983   2685],[ 27267 110025   2686]
2692,11610882,2022-11-17 14:28:59.843347+00:00,,t,33,72694419039674560,648518346501581144,72694419039695360,648518346501288024,[ 19591 106219   3096],[ 19583 106253   3097]
2693,42815581,2022-11-17 14:28:59.843347+00:00,,t,12,72905731229208171,648518346501581144,72905731229153050,648518346481857725,[ 25777 111821   2702],[ 25803 111835   2701]
2694,44082314,2022-11-17 14:28:59.843347+00:00,,t,37,72413149953034567,648518346501581144,72413149953034480,648518346481857725,[ 10649 110807   2615],[ 10683 110815   2615]
2695,44288610,2022-11-17 14:28:59.843347+00:00,,t,28,72342781141788744,648518346501581144,72342781141788773,648518346477034696,[  9975 111471   2520],[ 10003 111471   2519]
2696,2076234,2022-11-17 14:28:59.843347+00:00,,t,23,72553681618310031,648518346501581144,72553681618407675,648518346509569667,[ 14647 104647   3217],[ 14677 104645   3218]
2697,2076238,2022-11-17 14:28:59.843347+00:00,,t,19,72553681618212348,648518346501581144,72553681618407675,648518346509569667,[ 14659 104603   3216],[ 14683 104619   3218]
2698,30158195,2022-11-17 14:28:59.843347+00:00,,t,24,72835156460917312,648518346501581144,72835156460931562,648518346489572037,[ 24089 105835   3001],[ 24123 105813   3003]
2699,30158206,2022-11-17 14:28:59.843347+00:00,,t,17,72835156460853601,648518346501581144,72835156460848223,648518346489572037,[ 24159 105987   2968],[ 24149 105969   2966]
2700,30158214,2022-11-17 14:28:59.843347+00:00,,t,17,72835156460860390,648518346501581144,72835156460871687,648518346489572037,[ 24187 105927   2978],[ 24191 105893   2978]
2701,11409451,2022-11-17 14:28:59.843347+00:00,,t,19,72835156460946226,648518346501581144,72835156460941203,648518346501288024,[ 23181 106039   3017],[ 23169 106021   3016]
2702,11610916,2022-11-17 14:28:59.843347+00:00,,t,18,72694419039702281,648518346501581144,72694419039714112,648518346501288024,[ 19731 106149   3105],[ 19721 106137   3107]
2703,5652020,2022-11-17 14:28:59.843347+00:00,,t,37,72905593790518103,648518346501581144,72905593790484768,648518346514448583,[ 26249 107989   2763],[ 26251 107957   2763]
2704,5652025,2022-11-17 14:28:59.843347+00:00,,t,32,72905593790532712,648518346501581144,72905593790544879,648518346509569667,[ 26227 107921   2782],[ 26253 107905   2784]
2705,36920936,2022-11-17 14:28:59.843347+00:00,,t,18,72342712422367977,648518346501581144,72342712422363144,648518346507233352,[  9349 110021   2529],[  9335 110007   2528]
2706,13626785,2022-11-17 14:28:59.843347+00:00,,t,12,72553750270708413,648518346501581144,72553750270593421,648518346494933426,[ 14391 106755   3084],[ 14427 106769   3086]
2707,16181092,2022-11-17 14:28:59.843347+00:00,,t,67,72342712489177941,648518346501581144,72342712489179416,648518346507233352,[  9383 110521   2577],[  9413 110533   2578]
2708,8039531,2022-11-17 14:28:59.843347+00:00,,t,14,72905525138058748,648518346501581144,72905593857507103,648518346514448583,[ 25163 106495   2857],[ 25195 106499   2858]
2709,8039538,2022-11-17 14:28:59.843347+00:00,,t,16,72905525138001676,648518346501581144,72905593857465029,648518346514448583,[ 25199 106489   2839],[ 25219 106523   2841]
2710,8039548,2022-11-17 14:28:59.843347+00:00,,t,16,72905525138023056,648518346501581144,72905593857477204,648518346514448583,[ 25239 106477   2843],[ 25247 106505   2845]
2711,8039535,2022-11-17 14:28:59.843347+00:00,,t,51,72905525138001676,648518346501581144,72905593857452114,648518346509569667,[ 25179 106491   2838],[ 25215 106503   2838]
2712,25455888,2022-11-17 14:28:59.843347+00:00,,t,19,72342712556290752,648518346501581144,72342712556317099,648518346494071307,[  9683 110427   2699],[  9649 110429   2700]
2713,27389627,2022-11-17 14:28:59.843347+00:00,,t,23,72553818923408126,648518346501581144,72553818923386042,648518346496729980,[ 15395 109089   3052],[ 15407 109121   3052]
2714,32535803,2022-11-17 14:28:59.843347+00:00,,t,46,72483244155018253,648518346501581144,72483244155006353,648518346481857725,[ 13997 102831   3313],[ 14007 102809   3312]
2715,13626767,2022-11-17 14:28:59.843347+00:00,,t,69,72553750270756028,648518346501581144,72553750270593421,648518346494933426,[ 14355 106831   3082],[ 14389 106845   3083]
2716,44288100,2022-11-17 14:28:59.843347+00:00,,t,34,72342781141699433,648518346501581144,72342781141678876,648518346507233352,[  9415 110639   2469],[  9451 110639   2469]
2717,44288118,2022-11-17 14:28:59.843347+00:00,,t,25,72342781141686820,648518346501581144,72342781141675074,648518346507233352,[  9441 110733   2467],[  9473 110723   2467]
2718,11409456,2022-11-17 14:28:59.843347+00:00,,t,35,72835156460957722,648518346501581144,72835156460964748,648518346486753761,[ 23181 105931   3019],[ 23189 105909   3018]
2719,44288634,2022-11-17 14:28:59.843347+00:00,,t,13,72342781141853021,648518346501581144,72342781141865244,648518346494933426,[ 10023 111471   2542],[ 10031 111441   2542]
2720,44288677,2022-11-17 14:28:59.843347+00:00,,t,15,72342781141867451,648518346501581144,72342781141865244,648518346494933426,[ 10061 111355   2546],[ 10069 111383   2546]
2721,4391518,2022-11-17 14:28:59.843347+00:00,,t,13,72342781275942956,648518346501581144,72342781275948034,648518346494933426,[  9331 110641   2728],[  9323 110619   2731]
2722,13626799,2022-11-17 14:28:59.843347+00:00,,t,28,72553750270903932,648518346501581144,72553750270921282,648518346501288024,[ 14485 106577   3135],[ 14453 106571   3135]
2723,2581415,2022-11-17 14:28:59.843347+00:00,,t,16,72483450179091605,648518346501581144,72483450179078419,648518346509569667,[ 13755 109287   3025],[ 13793 109301   3025]
2724,13626780,2022-11-17 14:28:59.843347+00:00,,t,41,72553750270708413,648518346501581144,72553750270592267,648518346476657526,[ 14387 106763   3082],[ 14425 106777   3083]
2725,13626802,2022-11-17 14:28:59.843347+00:00,,t,28,72553750270817177,648518346501581144,72553750270831544,648518346476657526,[ 14429 106745   3095],[ 14455 106753   3095]
2726,6358981,2022-11-17 14:28:59.843347+00:00,,t,13,72483381526641700,648518346501581144,72483381526651388,648518346480666625,[ 14203 106587   3146],[ 14223 106613   3147]
2727,13626817,2022-11-17 14:28:59.843347+00:00,,t,46,72553750270885743,648518346501581144,72553750270890255,648518346501288024,[ 14443 106621   3121],[ 14483 106617   3122]
2728,13626784,2022-11-17 14:28:59.843347+00:00,,t,29,72553750270708413,648518346501581144,72553750270589160,648518346486753761,[ 14385 106741   3082],[ 14425 106739   3082]
2729,20263101,2022-11-17 14:28:59.843347+00:00,,t,40,72553681618473217,648518346501581144,72553681618484666,648518346480666625,[ 16307 104617   3253],[ 16331 104597   3253]
