,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
46,232,2023-08-28 08:01:33.725977+00:00,,t,"T1L, local",19A,72553886770404418,648518346510192422,[ 14448 111920   1387]
47,233,2023-08-28 08:01:33.744639+00:00,,t,"T2R, local",3A,74314618008985081,648518346492527801,[ 66168 156888   2949]
48,234,2023-08-28 08:01:33.764600+00:00,,t,"T2R, intersegmental",3A,74385055405213052,648518346491956107,[ 68696 159080   2807]
49,235,2023-08-28 08:01:33.783867+00:00,,t,"T1L, intersegmental",3A,72272687476572630,648518346499860364,[  7920 120024   2831]
50,236,2023-08-28 08:01:33.802045+00:00,,t,"T2L, ascending, intersegmental",5B,73188443492360565,648518346494810935,[ 33080 149488   3443]
51,237,2023-08-28 08:01:33.820561+00:00,,t,"T1L, intersegmental",5B,72765337808511637,648518346486667469,[ 20768 122696   3719]
52,238,2023-08-28 08:01:33.838521+00:00,,t,"T2R, ascending, intersegmental",5B,73329249566037673,648518346477105680,[ 37336 150760   3184]
53,271,2024-01-31 09:27:56.452768+00:00,,t,"T2L, local",unknown,72624944051189793,648518346487914452,[ 16912 131968   3853]
54,239,2023-08-28 08:01:33.858047+00:00,,t,"T1L, intersegmental",8A,72834537314702101,648518346496066411,[23952 87672  1754]
55,272,2024-01-31 09:27:56.453443+00:00,,t,"T3R, local",9A,74456179124042685,648518346481641921,[ 71353 180794    963]
56,240,2023-08-28 08:01:33.876110+00:00,,t,"T2R, intersegmental",8A,74313586880948582,648518346514241579,[ 66136 126224   2245]
57,241,2023-08-28 08:01:33.894403+00:00,,t,"T1L, local",9A,73115806266972772,648518346501581144,[31328 80624  1937]
58,242,2023-08-28 08:01:33.913145+00:00,,t,"T1L, local",9A,73116149931720890,648518346489054813,[30984 91520  2104]
59,243,2023-08-28 08:01:33.932474+00:00,,t,"T1L, local",9A,73256681463029701,648518346467364359,[36696 85304  2548]
60,244,2023-08-28 08:01:33.950045+00:00,,t,"T1L, local",9A,73115737547747733,648518346479847574,[31551 79835  2026]
61,245,2023-08-28 08:01:33.968471+00:00,,t,"T1L, local",9A,73327118926700939,648518346518740959,[37464 86176  2539]
62,246,2023-08-28 08:01:33.987855+00:00,,t,"T1L, local",9A,73327050140005922,648518346498002535,[37160 84933  2376]
63,247,2023-08-28 08:01:34.007500+00:00,,t,"T2R, local",9A,74243080764557627,648518346490119432,[ 64352 121256   2318]
64,248,2023-08-28 08:01:34.027624+00:00,,t,"T1L, local",9A,73116012559718108,648518346497475608,[32280 87888  2223]
65,249,2023-08-28 08:01:34.048531+00:00,,t,"T2R, local",9A,74243080832026157,648518346515250759,[ 64600 122168   2490]
66,250,2023-08-28 08:01:34.069169+00:00,,t,"T1L, local",9A,73045574961607432,648518346488893518,[30640 84288  1933]
67,251,2023-08-28 08:01:34.089205+00:00,,t,"T1L, local",9A,73186381505052101,648518346501992810,[34400 87304  2570]
68,252,2023-08-28 08:01:34.111582+00:00,,t,"T2R, local",9A,74243218203818693,648518346475270968,[ 63592 126024   2355]
69,253,2023-08-28 08:01:34.134749+00:00,,t,"T2R, local",9A,74102480916935013,648518346478712436,[ 59400 126384   2802]
70,254,2023-08-28 08:01:34.156810+00:00,,t,"T1L, local",9A,73186518877214899,648518346492304255,[33080 91088  2512]
71,255,2023-08-28 08:01:34.177726+00:00,,t,"T1L, local",9A,73327050274142341,648518346486716621,[37700 85210  2607]
72,256,2023-08-28 08:01:34.199387+00:00,,t,"T1L, sensory",club,72272069471113575,648518346498554608,[  8062 100629   3740]
