,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
24797,10206549,2022-11-17 14:28:59.843347+00:00,,t,74,72553681551514769,648518346481856445,72553681551490003,648518346488838734,[ 15089 104861   3181],[ 15111 104869   3181]
24798,10206536,2022-11-17 14:28:59.843347+00:00,,t,30,72553681551326677,648518346472297010,72553681551335896,648518346504315944,[ 15111 105405   3108],[ 15089 105377   3108]
24801,10206333,2022-11-17 14:28:59.843347+00:00,,t,27,72553681551526920,648518346514448583,72553681551539124,648518346509763459,[ 14607 105355   3198],[ 14581 105377   3199]
24802,10206311,2022-11-17 14:28:59.843347+00:00,,t,27,72553681551526798,648518346514448583,72553681551543362,648518346492416127,[ 14447 105137   3198],[ 14417 105131   3198]
24811,10206396,2022-11-17 14:28:59.843347+00:00,,t,19,72553681551514798,648518346494933170,72553681551499879,648518346488838734,[ 14817 104863   3189],[ 14821 104851   3185]
24820,10206640,2022-11-17 14:28:59.843347+00:00,,t,30,72553681551356327,648518346487912272,72553681551353834,648518346475413089,[ 15373 105437   3121],[ 15339 105443   3120]
24822,10206606,2022-11-17 14:28:59.843347+00:00,,t,61,72553681551480384,648518346501288024,72553681551470664,648518346496932836,[ 15229 104809   3173],[ 15243 104783   3174]
24832,10206455,2022-11-17 14:28:59.843347+00:00,,t,37,72553681551448837,648518346486753761,72553681551428858,648518346486538116,[ 14919 105421   3161],[ 14953 105403   3161]
24837,7372969,2022-11-17 14:28:59.843347+00:00,,t,14,73821693738899208,648518346495993163,73821693738885871,648518346504007630,[ 52643 147405   3922],[ 52673 147421   3923]
24845,10206495,2022-11-17 14:28:59.843347+00:00,,t,31,72553681551497607,648518346501288024,72553681551490166,648518346488838734,[ 15071 105151   3181],[ 15041 105155   3181]
24850,23007988,2022-11-17 14:28:59.843347+00:00,,t,17,73398931048430363,648518346502655814,73398931048386862,648518346481263717,[ 39049 130073   3074],[ 39015 130059   3076]
24851,7401602,2022-11-17 14:28:59.843347+00:00,,t,47,72975962534417945,648518346517348645,72975962534452259,648518346509763459,[ 26663 108411   2698],[ 26679 108431   2700]
24852,7401580,2022-11-17 14:28:59.843347+00:00,,t,21,72905593790353828,648518346517348645,72975962534569058,648518346501545571,[ 26603 108121   2717],[ 26631 108107   2718]
24853,23008698,2022-11-17 14:28:59.843347+00:00,,t,16,72553681618308147,648518346501288024,72624050362582599,648518346486538116,[ 16353 104605   3220],[ 16385 104615   3219]
24854,7401593,2022-11-17 14:28:59.843347+00:00,,t,22,72975962534554559,648518346517348645,72975962534542551,648518346501545571,[ 26625 108165   2710],[ 26661 108167   2710]
